first_name,last_name,wealth_segment,total_revenue
Jeffry,Slowly,Affluent Customer,133657.06
Tye,Doohan,Affluent Customer,129789.94
Herc,McIlhone,Affluent Customer,107476.68
Queenie,Flips,Affluent Customer,106182.33
Jessamine,Brazear,Affluent Customer,98618.77
Mercy,Wilsone,High Net Worth,109334.74
Lockwood,Exroll,High Net Worth,92405.18
Linell,,High Net Worth,91450.18
Gayelord,Lipman,High Net Worth,90493.06
Jonell,Gon,High Net Worth,87555.7
Jillie,Fyndon,Mass Customer,136632.46
Hercule,,Mass Customer,129189.48
Wendy,Randlesome,Mass Customer,101439.07
Charis,Maas,Mass Customer,100891.35
Cordelia,,Mass Customer,99880.69
